DATE,MONTH,WPM,CPM,ACC,CPM/WPM
25,3,13,53,60,4.27272727272727
27,3,11,47,100,4.27272727272727
30,3,10,51,100,5.1
31,3,14,65,100,4.64285714285714
1,4,11,55,100,5
4,4,15,71,100,4.73333333333333
6,4,16,76,100,4.75
7,4,19,76,100,4
9,4,22,94,100,4.27272727272727
10,4,20,93,100,4.65
11,4,21,100,100,4.76190476190476
13,4,20,97,100,4.85
14,4,24,113,100,4.70833333333333
15,4,21,103,100,4.90476190476191
17,4,24,107,100,4.45833333333333
19,4,25,109,100,4.36
23,4,28,116,100,4.14285714285714
27,4,27,117,100,4.33333333333333
27,5,26,110,99,4.23076923076923
29,6,34,147,100,4.32352941176471
30,6,33,132,100,4
9,7,33,147,100,4.45454545454545
11,7,30,140,93,4.66666666666667
3,7,36,143,97,3.97222222222222
15,7,34,142,96,4.17647058823529
17,7,33,149,100,4.51515151515152
18,7,36,156,94,4.33333333333333
19,7,38,157,97,4.13157894736842
20,7,39,161,100,5.13157894736842
